"BehaviorSpace results (NetLogo 6.3.0)"
"3-coordination_asymmetric.nlogo"
"experiment 2"
"03/04/2023 16:05:07:339 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-15","15","-15","15"
"[run number]","well-mixed","init-norm1","norm1-rarity-cost","norm1-coord-benefit","norm1-prosocial-benefit","[step]","(count turtles with [norm1?]) / (count turtles)"
"565","false","0.61","0.5","1","1","32","1"
"561","false","0.61","0.5","1","1","38","1"
"566","false","0.615","0.5","1","1","32","1"
"563","false","0.61","0.5","1","1","43","1"
"567","false","0.615","0.5","1","1","38","1"
"568","false","0.615","0.5","1","1","33","1"
"569","false","0.615","0.5","1","1","35","1"
"575","false","0.62","0.5","1","1","27","1"
"571","false","0.62","0.5","1","1","46","1"
"578","false","0.625","0.5","1","1","27","1"
"576","false","0.625","0.5","1","1","33","1"
"570","false","0.615","0.5","1","1","51","1"
"573","false","0.62","0.5","1","1","37","1"
"574","false","0.62","0.5","1","1","44","1"
"572","false","0.62","0.5","1","1","58","1"
"577","false","0.625","0.5","1","1","47","1"
"579","false","0.625","0.5","1","1","45","1"
"580","false","0.625","0.5","1","1","39","1"
"581","false","0.63","0.5","1","1","45","1"
"584","false","0.63","0.5","1","1","27","1"
"582","false","0.63","0.5","1","1","36","1"
